Movie Name,Original Language - Year of Release,Overview,MDL Rating
Once Upon a Crime,Japanese Movie - 2023,"After accidentally running over a man with their pumpkin carriage en route to a ball, Red and Cinderella decide on concealing the body. Once safely arrived at their destination, Cinderella falls head over heals for the…",7.3
The Movie Emperor,Chinese Movie - 2023,"Lau Wai-Chi is a Hong Kong movie star with legions of devoted fans and a constant eye on his competition. His fame has drawn him inside an ever-tighter circle, where all he can do is keep his body perfect and worry what…",7.0
A Normal Family,Korean Movie - 2023,"Successful attorney Jae Wan takes on the case of a wealthy executive's son who intentionally ran over and murdered a man and gravely injured his daughter. To defend a killer is part of Jae Wan's profession, another rung…",7.9
Stand Up Story,Hong Kong Movie - 2023,"From a young age, Mancer had always known that his father, Wah, was different from other adults; he spoke illogically, had slow comprehension, and was quite easily deceived. After growing up, Mancer finally understood…",
Rerun,Thai Movie - 2023,"Finding that they have a similar taste for music, Kit and Chou start to attend concerts together. Their relationship grows until its initial appeal starts to fade, and the meaning behind it becomes lost. (Source: MyDramaList)…",7.8
Strange Things in Western Hunan,Chinese Movie - 2023,"People from Xiangxi have a deep love for their homeland and a tradition of returning to their roots, like fallen leaves. Coupled with the rugged local geography, this gave rise to the profession of ""corpse drivers.""…",7.0
But Sometimes a Relationship,Korean Movie - 2023,"Yeo Bin asks her ex to be lovers again, telling him that she'll die if he is not with her and she does when she gets run over by a car.

(Source: MyDramaList)",6.8
Chabak: The Night of Murder and Romance,Korean Movie - 2023,"For the perfectly happy couple Soo Won and Mi Yoo on a romantic car trip, everything turns into a terrible nightmare in an instant when a stranger appeared on their first wedding anniversary.

(Source: HanCinema)",6.7
Jango: Uncharged,Korean Movie - 2023,,
Huling Sayaw,Filipino Movie - 2023,,
Mimang,Korean Movie - 2023,"The word “mimang” holds multiple meanings in Korean. One, being unable to make sense from ignorance. Two, being unable to forget what one wants to forget. And three, searching far and wide. In debut filmmaker Kim…",7.2
Great Absence,Japanese Movie - 2023,"Takashi, a Tokyo-based actor, is summoned from rehearsal by the police, who have just raided his father’s home in Southern Japan in answer to a distress call. In the cluttered house, the police only find a confused…",7.7
Dalisay Dreams,Filipino Movie - 2023,"Ishmael Dalisay begins to picture his future after graduating senior high school. Little by little, his idealistic principles are challenged by his grandfather’s jaded outlook on the nation’s politics. What spans…",
All Ears,Chinese Movie - 2023,"The film tells the story of Wen Shan, who writes eulogy for a living, looking for answers in balancing his relationship with the world. In the encounter with ordinary people of all kinds, Wen Shan comforts others, gains…",7.8
Flaming Cloud,Chinese Movie - 2023,"It tells the story of San Gui, who is cursed to cause everyone he kisses to fall into a deep sleep. Only true love can break the curse. As San Gui searches for a cure, he finds a dreamer yearning to become a princess…",7.4
Twin Souls of Destiny,Chinese Movie - 2023,"The Shadow Elf is a human form formed from the memory of the Bone Elf's previous life. Although they grew up in different circumstances, the two have the deepest connection and bond. They will eventually resolve their…",7.3
Manji,Japanese Movie - 2023,"~~ Adapted from the novel ""Manji"" (卍) by Tanizaki Junichiro (谷崎 潤一郎).",6.0
Touch,Japanese Movie - 2023,"Misaki is a fourth grader who is still processing the loss of her mother. Her eccentric behaviour sometimes upsets those around her, especially her absence from school as she begins to hang out at a ceramic artist’s…",
Only Time for Loving,Chinese Movie - 2023,,
Di Ren Jie Secret Soldier Borrows the Road,Chinese Movie - 2023,"During the Wu Zhou period, the entire family of Hu Xian De, the Deputy Imperial Censor, was murdered, prompting Wu Ze Tian to order Detective Dee to investigate. As Detective Dee delved into the investigation, he discovered…",6.7
Patikim-tikim,Filipino Movie - 2023,"Ivy is pursued by first love Miyo, but is in a relationship with Bianca, who happens to be Miyo’s boss. Meanwhile, Miyo’s ex April pursues Miyo, but is also open to a threesome with Ivy? Which one tastes like love?…",6.2
The Forbidden Play,Japanese Movie - 2023,"The story of a family that moves into a home situated next to a graveyard. The film starts innocently with a playful exchange between a parent and child about lizards' tails growing back. However, the child's curiosity…",6.6
Senritsu Kaiki World Kowasugi!,Japanese Movie - 2023,"The research team investigates a crazy supernatural phenomenon and plunges into an even more outrageous situation!

(Source: TMDB)",6.7
Love Fool,Taiwanese Movie - 2023,"A Quan looks fierce on the outside, but actually has a kind and soft heart. He goes through life together with his brothers A Gui and Long Zai. In an accident, their boss passed away. The sad A Quan met Bei Bei, a restaurant…",
Tokyo Landmarks,Japanese Movie - 2023,"Takeshi, who is visiting Minori, who works part-time at a convenience store to support himself, learns that Minori is harboring a runaway girl named Sakurako. Sakurako is a minor, and Takeshi tries to persuade her to…",
Hotsureru,Japanese Movie - 2023,"Watako has just lost her lover, Kimura, in a traffic accident in Tokyo. She decides to bury the trauma of this tragedy and carries on with her life with her husband. Although she puts on a facade for a while, the loss…",7.6
Noroi no Mokushiroku 9,Japanese Movie - 2023,,
Football Youth,Chinese Movie - 2023,"Jia Ming Hai entered Fenghua Middle School as a school football coach through false resume. Because of that, he starts to led a group of ""problematic students"" to participate in high school football competitions, and…",
What If,Filipino Movie - 2023,"When a pair of newlywed musicians get trapped in a storm on their island honeymoon, they must face difficult truths that could tear their marriage apart.

(Source: Netflix)",6.8
Hantang,Korean Movie - 2023,"""Erotic films are also an art."" In order to film the best erotic movie, the production team goes out in full force to recruit a luxurious villa as a filming location. When told that it was an action movie, the owner…",
Primetime Mother,Filipino Movie - 2023,"Minda, a 45-year-old mother, wants nothing but to join and win in a popular and high-paying television game show “My Amazing Mama.” But in the Philippines, where thousands of people rely on entertainment shows to…",
Love in an Old Album,Thai Movie - 2023,"In the year 1990, a young couple from the Khon Kaen countryside, Jadet and Pranee, fall in love under the disapproving eyes of their fellow villagers. Jadet is only a dump truck driver and Pranee is a promising grade…",
Sleep,Korean Movie - 2023,Soo Jin and Hyun Soo are a newlywed couple. Their happy married life soon turns into a nightmare because Hyun Soo suddenly begins to behave abnormally during his sleep. What starts out as some light sleep-talking soon…,7.5
Following the Sound,Japanese Movie - 2023,"The film follows the daily lives of three people, Haru, Yukiko, and Tsuyoshi. While searching for directions on the street, Haru happens to meet Yukiko, a woman around his mother’s age, and they arrive at the café…",7.9
Silent Duel,Chinese Movie - 2023,,
Kidnap for Romance,Filipino Movie - 2023,"When his grandfather presses him to get married, a wealthy heir fakes a relationship with a gangster after she fumbles her attempt to abduct him.

(Source: Netflix)",7.4
Snow Leopard,Chinese Movie - 2023,"A father and son argue over whether they should kill a snow leopard that broke into their home and killed 9 sheep.

(Source: IMDb) 

~~ Release Dates: Sep 6, 2023 (Festival) || Apr 3, 2024 (Cinema)",
Where Your Eyes Linger (Director’s Cut),Korean Movie - 2023,"Han Tae Joo is the heir to the TB Group, a powerful chaebol family. His conservative parents want to ensure he stays out of trouble as he finishes high school, so they ""hire"" his classmate and close friend Kang Gook…",7.9
Evil Does Not Exist,Japanese Movie - 2023,Takumi and his eight-year-old daughter Hana reside in a forested region of Japan that’s remained largely unsullied by large-scale development. Until now. A pair of agents come to Takumi’s village to propose a “glamping”…,7.3
Breaking Military X-Files: Invisible Person,Chinese Movie - 2023,"In a forbidden experiment conducted by a mysterious organization, the designated heir of the former ""Broken Soldier"" codename, Lin Zhongfei, accidentally becomes an hidden person and disappears from the human world.…",6.1
Shadow of Fire,Japanese Movie - 2023,"In a derelict ramen house, a woman earns money by offering the only collateral she has left: her body. A young soldier comes seeking her services, though his need for comfort outweighs his lust. He tries to forge a relationship…",6.8
Love Is a Gun,Hong Kong Movie - 2023,"Since his release from prison, Sweet Potato has been content with running a small business with meagre earnings by the seaside, headless of others people’s advice against it. He is pulled into the whirlpool of his…",7.6
The Book and the Sword,Chinese Movie - 2023,,7.3
Torn Heaven,Filipino Movie - 2023,"Cousins Dyosa and Claudia's lives change when a carnival arrives in their town. As they both surrender their innocence to the carnival men, their dreams come crashing down.

(Source: vivamax.net)",5.5
