Most Popular Drama,Drama Rank,Drama Name,Original Language - Year of Release,Overview,Episodes,MDL Rating
79,#501,Just Between Lovers,Korean Drama - 2017,"A major accident takes the lives of 48 people. The lives of the survivors, those who lost loved ones and those connected to the parties blamed for the tragic event are also marked forever. When he was 15, Lee Gang Doo…",16 episodes,8.5
80,#1170,King the Land,Korean Drama - 2023,"Heir Goo Won cannot stand fake smiles. When he meets Cheon Sa Rang, her sincere smile is at the ready. The pair seek to create happy moments where they can smile brightly at each other. King of the Land is a VVIP business…",16 episodes,8.3
81,#128,Tomorrow,Korean Drama - 2022,"Choi Joon Woong seeks a job, but it's hard for him to get hired. One night, he witnesses a man trying to end his life and decides to stop him. He gets acquainted with grim reapers Koo Ryeon and Im Ryoong Gu, who belong…",16 episodes,8.8
82,#527,The Master's Sun,Korean Drama - 2013,"Joo Joong Won is the stingy and greedy CEO of Kingdom, a conglomerate that includes a major department store and hotel. He meets the gloomy Tae Gong Shil, who started seeing ghosts after an accident. Their lives take…",17 episodes,8.5
83,#940,My Roommate Is a Gumiho,Korean Drama - 2021,"Shin Woo Yeo is a handsome and smart writer, who is actually a 999-year-old nine-tailed fox. To become a human, he collects human energy in a bead. One day, the drunk friend of Lee Dam, a university student, falls asleep…",16 episodes,8.3
84,#121,Happiness,Korean Drama - 2021,Yoon Sae Bom is a special agent with quick wits and reflexes and another special quality. She earns the opportunity to move into a new apartment set aside for civil servants in a coveted apartment complex by pretending…,12 episodes,8.9
85,#468,All of Us Are Dead,Korean Drama - 2022,"A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out — or turn into one of the rabid infected. (Source: Netflix) ~~ Adapted from the webtoon ""All of Us Are Dead""…",12 episodes,8.5
86,#1382,Who Are You: School 2015,Korean Drama - 2015,"Sekang High School is the most prestigious private high school in Seoul's Gangnam District, and Go Eun Byul is the most popular girl there. Meanwhile, her identical twin Lee Eun Bi is living in an orphanage and is being…",16 episodes,8.2
87,#1635,"Bring It On, Ghost",Korean Drama - 2016,A cohabitation comedy about a ghost of a high school girl who has been dead for 5 years and an exorcist college boy with the ability to see and hear ghosts. What he’s discovered over the years is that he can touch…,16 episodes,8.1
88,#1024,The Beauty Inside,Korean Drama - 2018,"Han Se Gye is a top actress, also known as a troublemaker, with many rumors around her. To others, her life appears as a mystery, when in fact she is faced with a strange occurrence where she must change into a different…",16 episodes,8.3
89,#1278,Love in the Moonlight,Korean Drama - 2016,"To protect herself and her family, Hong Ra On disguises herself as a man and counsels men on dating. Due to a love letter she wrote for a client, she meets Crown Prince Hyo Myung. Ra On is unaware that he is the Crown…",18 episodes,8.2
90,#2318,Dream High,Korean Drama - 2011,Dream High tells the story of six students at Kirin Art High School who work to achieve their dreams of becoming music stars in the Korean music industry. Go Hye Mi is a student who majored in classical music but has…,16 episodes,8.0
91,#27,Weak Hero Class 1,Korean Drama - 2022,"Yeon Shi Eun is a model student who ranks at the top of his high school. Physically, Yeon Shi Eun appears weak, but by using his wits and psychology, he fights against the violence that takes place inside and outside…",8 episodes,9.1
92,#94,Signal,Korean Drama - 2016,"Fifteen years ago, a young girl was kidnapped on the way from school, and Park Hae Yeong, who was an elementary school student at that time, witnessed the crime. A few days later, the girl was found dead, and the police…",16 episodes,8.9
93,#1780,Uncontrollably Fond,Korean Drama - 2016,"People change, but can the heart adapt? Sin Jun Yeong and No Eul were in love in their younger days. But uncontrollable circumstances separated them, and they went their separate ways. Jun Yeong is now a superstar actor…",20 episodes,8.1
94,#1186,My Demon,Korean Drama - 2023,Do Do Hee is the successor of the Future Group. She doesn’t trust in anyone and is cynical about love. Do Do Hee gets involved with a demon named Jung Gu Won and makes a contract marriage with him. He can live for…,16 episodes,8.2
95,#70,Prison Playbook,Korean Drama - 2017,"Kim Je Hyuk, a famous baseball player, is arrested after using excessive force while chasing a man trying to sexually assault his sister. Shockingly to him and the rest of the nation, he is sentenced to a year in prison.…",16 episodes,9.0
96,#598,Reply 1997,Korean Drama - 2012,"Set in the 1990s, the drama centers around a female high school student Shi Won, who idolizes boyband H.O.T, and her 5 high school friends in Busan. As the timeline moves back and forth between their past as 18-year-old…",16 episodes,8.4
97,#2925,Doctors,Korean Drama - 2016,"Yoo Hye Jung was a tough bully in school with a prickly personality and always goes wayward. She had many scars from her childhood and through self-preservation, Hye Jung keeps her heart shut away from other people.…",20 episodes,7.9
98,#846,Extracurricular,Korean Drama - 2020,"""Extracurricular” is centered around four high school students who start committing crimes to earn money and the unpredictable dangers they face as a result. Ji Soo, who goes from a model student to a criminal after…",10 episodes,8.3
99,#2907,Doctor Stranger,Korean Drama - 2014,"As a child, Park Hoon and his father were kidnapped by North Korea. In North Korea, he was trained to become a doctor by his father who was already a doctor. Park Hoon became a genius-like heart surgeon. He then flees…",20 episodes,7.9
100,#2343,Memories of the Alhambra,Korean Drama - 2018,“Memories of the Alhambra” tells the unique and suspenseful love story of Yoo Jin Woo and Jung Hee Joo. Strong-spirited Yoo Jin Woo is the CEO of an investment company with a degree in engineering and a knack for…,16 episodes,8.0
101,#49,My Mister,Korean Drama - 2018,"Park Dong Hoon is a middle-aged engineer who is married to attorney Kang Yoon Hee. However, his life is not that happy as he has two unemployed brothers, Sang Hoon and Gi Hoon, who rely on him. Moreover, his wife is…",16 episodes,9.0
102,#53,Hidden Love,Chinese Drama - 2023,"Sang Zhi falls in love with Duan Jia Xu, the boy who often comes to her house to play games in her older brother's room. He is five years older than her. Sang Zhi had a crush on Duan Jia Xu when she was young, but they…",25 episodes,9.0
103,#2442,Something in the Rain,Korean Drama - 2018,"Yoon Jin Ah is a woman in her mid-30s who doesn’t know yet what it’s like to date a man. She’s been dumped by a man many times because of her clumsy, reckless, and foolish behavior. And again, a man she wanted…",16 episodes,8.0
104,#118,Mr. Sunshine,Korean Drama - 2018,Mr. Sunshine centers on a young boy born into a house servant's family who travels to the United States during the 1871 Shinmiyangyo (U.S. expedition to Korea). He returns to his homeland later as a U.S. marine officer.…,24 episodes,8.9
105,#302,18 Again,Korean Drama - 2020,"Jung Da Jung and Hong Dae Young have been married for almost two decades, raising their twins together. Despite appearances, their life is far from ideal, filled with Dae Young's incessant nonsense. When he gets fired…",16 episodes,8.6
106,#614,Thirty but Seventeen,Korean Drama - 2018,"Woo Seo Ri, a violin prodigy at seventeen who was about to study in Germany, got into a bus accident and fell into a coma, waking up thirteen years later. Mentally, she is still only seventeen, while physically, she…",32 episodes,8.4
107,#748,Put Your Head on My Shoulder,Chinese Drama - 2019,"On the cusp of graduation, an accounting major searching for her career winds up living with a genius physics student who shakes up her daily routine. Situ Mo is a graduating student. As someone who got used to having…",24 episodes,8.4
108,#4261,Personal Taste,Korean Drama - 2010,"Jeon Jin Ho is a straight guy who is mistaken as gay when he applies to become Park Gae In's roommate. His hobbies include organization and ironing, and he's known for his stoic poker face. He's a stickler for cleanliness,…",16 episodes,7.7
109,#5330,Tempted,Korean Drama - 2018,"Rich and privileged twenty-somethings uncover their true motives and reveal their depravity while playing a dark and dangerous game. Set on revenge, popular player Kwon Shi Hyun makes a bet with friends he can seduce…",32 episodes,7.6
110,#1284,Are You Human Too?,Korean Drama - 2018,"The drama tells of an android called Nam Shin III who must pretend to be the son of a rich family when the real Nam Shin falls into a coma. Nam Shin's mother, Oh Ro Ra, is a genius at brain technology and artificial…",36 episodes,8.2
111,#172,Kingdom,Korean Drama - 2019,"No sooner does the Joseon King succumb to smallpox, do the rumors of his death begin. The Cho Clan, the clan of the pregnant Queen and her father, Chief State Councillor Cho Hak Joo, declares the Crown Prince, a traitor.…",6 episodes,8.8
112,#3937,2gether,Thai Drama - 2020,"Tine is a handsome student and cheerleader in college, while Sarawat is one of the most popular guys on campus and a leading light in the soccer and music clubs. When Tine is chased by Green, whose feelings he does not…",13 episodes,7.7
113,#1628,School 2017,Korean Drama - 2017,"The drama tells realistically of the many various troubles that high school students can face. Ra Eun Ho is just one of them, struggling to survive in a school that discriminates against rich and poor, and believes that…",16 episodes,8.1
114,#416,Eulachacha Waikiki,Korean Drama - 2018,"Three very different young men – Dong Goo, the bad luck incarnate who dreams of becoming a film director; Joon Ki, an eccentric actor who performs to make a living; and Doo Shik, a freelance writer who fiddles around…",20 episodes,8.6
115,#305,Strangers from Hell,Korean Drama - 2019,"Yoon Jong Woo is a young guy in his 20s who moves from the countryside to Seoul after his college friend, Jae Ho, offers him a job. While looking for a place to live, he stumbles upon Eden Gosiwon, a cheap hostel that…",10 episodes,8.6
116,#19,Twinkling Watermelon,Korean Drama - 2023,"In 2023, Eun Gyeol is a CODA (Child of Deaf Adults) high-school student, but he has a passion for music. During the day, he is a studious model pupil, but at night, he rocks out as a guitarist in a band. But when he…",16 episodes,9.2
117,#65,The Glory Part 2,Korean Drama - 2023,Moon Dong Eun's silent fury against those students that horrifically abused her during her high school years continues to burn inside of her. She meticulously executes her plan to inflict ultimate pain on her tormentors.…,8 episodes,9.0
