Web Series Rank,Web Series Name,Original Language - Year of Release,Episodes,Overview,MDL Rating
#2310,Shinhannin Flag,Japanese Drama - 2021,10 episodes,"Sagara Ryosuke is an ordinary salaryman and he works for a mid-size shipping company. He is a good natured person. His family consists of his wife Maho, high school student daughter and elementary school student son.…",7.6
#2311,Gosei Sentai Dairanger,Japanese Drama - 1993,50 episodes,"Eight thousand years ago, the Daos civilization flourished in Southern China. The civilization consisted of three tribes: the Dai, the Shura (the ancestors of today's humanity), and the Gorma (the military tribe); they…",7.7
#2312,My Decoy Bride,Chinese Drama - 2023,24 episodes,"The story about the notorious Prince Li Shu Bai of Hou family who got into accident when escaping marriage. After returning to the Hou Mansion, he found that his bride Jiang Yu Xiao had the intention to kill him, so…",7.7
#2313,Never Too Late,Chinese Drama - 2022,22 episodes,"Underwear designer Jiang Xile reunited with her 10-year crush Ding Ran in an ""awkward"" way. But the awkwardness doesn't stop there, as soon as she returned home, her mother makes the big announcement that she wants to…",7.7
#2314,Serenade of Peaceful Joy,Chinese Drama - 2020,69 episodes,"When Zhao Zhen discovers his biological mother is not the Empress Dowager Liu E, but her maid Li Lanhui, he arranges a marriage between his beloved daughter Princess Fukang and the Li family’s son Li Wei as compensation…",7.7
#2315,Hong Gil Dong,Korean Drama - 2008,24 episodes,Hong Gil Dong was the illegitimate son of a high ranked minister. A local monk took him under his wing and taught him martial arts. Hong Gil Dong was inspired to fight for the injustice in this society that divided people…,7.7
#2316,Moon in the Day,Korean Drama - 2023,14 episodes,"Han Joon Oh is a leading South Korean celebrity. He is stunningly good-looking and tall but is secretly plagued by an inferiority complex that leaves him permanently insecure. One day, he is hired to appear in a public…",7.7
#2317,Khu Khaen Saen Rak,Thai Drama - 2021,17 episodes,"Songkran is a real estate mogul a total womanizer with a son named Pe. But he didn’t start out like this, though. Pe’s mother left him when he was young to be with another man. Kran was heartbroken and began treating…",7.7
#2318,Jugglers,Korean Drama - 2017,16 episodes,"In this office romantic-comedy drama, a secretary with a passive and obedient personality meets a boss who is completely uninterested in others and has no consideration for them.

(Source: KBS World)",7.7
#2319,Lives of Omission,Hong Kong Drama - 2011,30 episodes,"Working as an undercover for many years, Laughing escapes from all calamity. Two years ago, he underwent special training to become mute and worked in mainland China as an undercover. Closely working with the mainland…",7.6
#2320,Flying Tiger,Hong Kong Drama - 2018,30 episodes,"When he was younger, Ko Yat Tai accepted a mission to infiltrate the triads as an undercover agent. The triad leader's daughter, Lou Man Na, fell in love with him at first sight. Although Ko Yat Tai already had his heart…",7.6
#2321,Dear Mayang Street,Chinese Drama - 2020,37 episodes,"Set during a time of reform in the 1980s, this is a story about youth and love that revolves around 6 families living on Mayang street in Guangzhou. Ou Xiao Jian is a bad boy who dates Ma Xiao Xiao, a school girl in…",7.7
#2322,The Best Ending,Korean Drama - 2019,8 episodes,Choi Woong and Go Min Chae have been dating for eight years and they’ve done everything they dreamed of doing before settling down. Now just one thing is left on their list: getting married. The pair agrees to tie…,7.7
#2323,IS - Otoko Demo Onna Demo Nai Sei,Japanese Drama - 2011,10 episodes,IS follows the high school life of Hoshino Haru. Haru was born intersex meaning that he was born with physical characteristics of both sexes and cannot clearly be assigned as a binary gender based on these physical characteristics.…,7.7
#2324,Storm Eye,Chinese Drama - 2021,40 episodes,"A story about a team of agents is told from the perspective of An Jing and Ma Shang. Showing no fear in their mission to uphold justice, these officers work hard to protect national interests. Ma Shang is a national…",7.7
#2325,Meeting You Loving You,Chinese Drama - 2021,24 episodes,"Su Zhi Nian, a transfer student with hidden powers, defends himself and Song Qing Chun from bullies with those powers. However, he discovers that his abilities don't work when she touches him, an unprecedented development.…",7.7
#2326,Chef wa Meitantei,Japanese Drama - 2021,9 episodes,"Mifune Shinobu is a chef for a French restaurant. He learned French cooking at restaurants in the countryside of France more than 10 years ago. Shinobu doesn’t talk much and he is calm, but he has a warm heart and…",7.6
#2327,The Silent Criminal,Chinese Drama - 2020,13 episodes,"Dastardly thieves hatch a murderous plan in a quiet, sleepy town. They plot to seize a box containing a powerful weapon that has the potential to bestow its bearer with devastating powers. But when they finally get their…",7.7
#2328,The Way We Were,Taiwanese Drama - 2014,16 episodes,"Set during 1998, the story tells of how a group of friends come together, encounter love and many other aspects of life. The drama is another production by Ruby Lin.",7.7
#2329,Short,Korean Drama - 2018,4 episodes,"Kang Ho Young is a short track speed skater. He learned how to skate at a small skating rink in the countryside. He was scouted by Kangbaek University which is famous for short track speed skating. There, he meets Park…",7.7
#2330,Xi Dian Yuan Yang,Chinese Drama - 2013,25 episodes,"The 2nd part of the series. It is a continuation of Cuo Dian Yuan Yang, focusing on the romances of the younger brothers of the Shi family. Shi Wu Hen, the second brother, is still getting over his love for Huan Er.…",7.6
#2331,Moonshine,Korean Drama - 2021,16 episodes,"An extended period of prohibition in the Joseon era proved that the restriction of alcohol was no match for human desire. Laws against imbibing, buying or making alcohol created different challenges for these inhabitants:…",7.7
#2332,My Dear Brothers,Chinese Drama - 2021,35 episodes,"Shi Xia and her brother, Shi Dong, have depended upon each other since childhood after losing their parents. Her brother mysteriously disappeared without a trace, leaving Shi Xia to search for him ever since. One day,…",7.7
#2333,Jiu Liu Overlord,Chinese Drama - 2020,36 episodes,"The story takes place at the end of the Tang Dynasty. Li Jing Liu is a business tycoon, while Long Ao Yi is the leader of the Longzhu Sect. When a mysterious burglary shakes the city, the city's two overlords are pitted…",7.7
#2334,Shichinin no Hisho,Japanese Drama - 2020,8 episodes,"Toto Bank President Ichihara is in a hotel suite romancing his secretary Nana when he suddenly loses consciousness. Four women arrive to perform CPR, but their efforts to save him are in vain. They calmly rid the room…",7.7
#2335,The Legend of Anle,Chinese Drama - 2023,39 episodes,"Di Zi Yuan seeks revenge after her family was falsely accused of treason ten years ago and beheaded according to the emperor's edict. As the sole survivor, she changes her name to Ren An Le and schemes her way into the…",7.7
#2336,Perfect Mismatch,Chinese Drama - 2023,24 episodes,"Shi Hua Hua is a medical student who studies Chinese medicine and is great at martial arts. One day she accidentally hits and hurts Zhou Zhi Fei, a domineering CEO. After arguments and misunderstandings the two eventually…",7.7
#2337,Hyakuman Kai Ieba Yokatta,Japanese Drama - 2023,10 episodes,"Soma Yui and Torino Naoki were childhood friends, but they met again as adults. Just as he decides to propose to Yui, Naoki suddenly disappears from Yui's sight after being embroiled in a mysterious incident. Naoki continues…",7.7
#2338,Hello Mr. Gu,Chinese Drama - 2021,30 episodes,"A CEO with an aversion to crowds enters a contractual marriage with an impoverished heiress. With opposing personalities, they initially butt heads, only to become one another’s confidants over time. These imperfect…",7.7
#2339,The Cupids Series: Kammathep Hunsa,Thai Drama - 2017,8 episodes,"Hunsa is a clumsy girl. She never had a boyfriend but would always make up stories about having one to her coworkers. It's because of her clumsiness that she always end up quitting her jobs. Finally, she finds a job…",7.7
#2340,Mahou Sentai Magiranger,Japanese Drama - 2005,49 episodes,"A war between the Infershia and Magitopia had occurred unbeknownst to humans. After being imprisoned within the Earth for fifteen years, the Infershia have returned to get revenge from their imprisonment. When the Infershia…",7.7
#2341,Flower Ever After,Korean Drama - 2018,10 episodes,A realistic drama that reflects on dating and marriage produced by PlayList Global.,7.7
#2342,Neung Nai Suang,Thai Drama - 2015,12 episodes,"Poom, a beautiful girl with no parents, meets Neung at a party. Neung is a handsome son of a former renowned diplomat that just came back from studying in France. Every girl wants to get to know him. But after the first…",7.7
#2343,Dr. Chocolate,Japanese Drama - 2023,10 episodes,"Two years ago, Noda Tetsuya worked as a doctor. He was a medical intern trained by cardiac surgeon Terashima Koichi. One day, Koichi and his wife were murdered. At that time, Tetsuya lost his right hand. Koichi and his…",7.7
#2344,The Proud Twins,Hong Kong Drama - 2005,40 episodes,"Separated at birth and brought up by rivalling masters, twins Hua Wu Que and Xiao Yu Er reunite 18 years later to collaborate and combine forces so as to nullify a conspiracy to take over the martial arts world. This…",7.6
#2345,Kim Soo Ro,Korean Drama - 2010,32 episodes,"This drama charts the life of Kim Soo Ro, legendary founder of Geumgwan Gaya, the ruling city-state of the Gaya confederacy, which dominated sea trade and iron working during the Three Kingdoms Period. Kim Soo Ro's fiery…",7.7
#2346,The Palace: The Lock Heart Jade,Chinese Drama - 2011,39 episodes,Luo Qing Chuan is a modern-day girl with a love of history who accidentally travels back in time to Emperor Kang Xi's era of the Qing dynasty. She becomes embroiled in the princes' struggle for the throne and is torn…,7.7
